month,currency,rate
2024-03-01,USD,1.2614
2024-03-04,USD,1.2614
2024-08-01,USD,1.3033
2025-06-17,USD,1.3412
2025-06-30,USD,1.3412
2025-08-29,USD,1.3541
2025-09-10,USD,1.3473
2025-09-25,USD,1.3473
2026-02-10,USD,1.3410
